"Customer_ID;""Order_ID"";""Product_Name"";""Category"";""Order_Date"";""Quantity"";""Price"";""Discount"";""Sales"";""Profit"";""Region"""
"CUST-0001;""ORD-000001"";""Rice"";""Groceries"";""2020-11-23"";9;120.16;0.04;1038.18;207.64;""East"""
"CUST-0002;""ORD-000002"";""Chair"";""Furniture"";""2020-02-27"";1;91.3;0.09;83.08;16.62;""East"""
"CUST-0003;""ORD-000003"";""Rice"";""Groceries"";""2020-01-13"";8;347.45;0.21;2195.88;439.18;""East"""
"CUST-0004;""ORD-000004"";""Textbook"";""Books"";""2020-05-20"";8;49.42;0.01;391.41;78.28;""West"""
"CUST-0005;""ORD-000005"";""Jacket"";""Clothing"";""2020-05-05"";1;54.75;0.29;38.87;7.77;""North"""
"CUST-0006;""ORD-000006"";""T-shirt"";""Clothing"";""2020-04-24"";3;240.55;0.2;577.32;115.46;""East"""
"CUST-0007;""ORD-000007"";""Wardrobe"";""Furniture"";""2020-03-12"";8;484.84;0.14;3335.7;667.14;""West"""
"CUST-0008;""ORD-000008"";""Jacket"";""Clothing"";""2020-02-22"";2;430.29;0.1;774.52;154.9;""West"""
"CUST-0009;""ORD-000009"";""Sweater"";""Clothing"";""2020-12-12"";9;27.98;0.03;244.27;48.85;""East"""
"CUST-0010;""ORD-000010"";""T-shirt"";""Clothing"";""2020-10-06"";7;433.81;0.25;2277.5;455.5;""North"""
"CUST-0011;""ORD-000011"";""Textbook"";""Books"";""2020-02-14"";7;36.56;0.16;214.97;42.99;""West"""
"CUST-0012;""ORD-000012"";""Rice"";""Groceries"";""2020-10-29"";4;140.86;0.04;540.9;108.18;""East"""
"CUST-0013;""ORD-000013"";""Bread"";""Groceries"";""2020-08-04"";2;24.15;0.19;39.12;7.82;""South"""
"CUST-0014;""ORD-000014"";""Sofa"";""Furniture"";""2020-01-17"";9;16.7;0.12;132.26;26.45;""South"""
"CUST-0015;""ORD-000015"";""Headphones"";""Electronics"";""2020-01-16"";2;327.38;0.05;622.02;124.4;""East"""
"CUST-0016;""ORD-000016"";""Magazine"";""Books"";""2020-02-17"";7;419.01;0.29;2082.48;416.5;""South"""
"CUST-0017;""ORD-000017"";""Milk"";""Groceries"";""2020-04-21"";7;103.4;0.18;593.52;118.7;""South"""
"CUST-0018;""ORD-000018"";""Tablet"";""Electronics"";""2020-04-29"";7;176.54;0.24;939.19;187.84;""East"""
"CUST-0019;""ORD-000019"";""Tablet"";""Electronics"";""2020-09-15"";5;420.36;0.17;1744.49;348.9;""West"""
"CUST-0020;""ORD-000020"";""Wardrobe"";""Furniture"";""2020-11-04"";9;247.33;0.1;2003.37;400.67;""West"""
"CUST-0021;""ORD-000021"";""Eggs"";""Groceries"";""2020-01-14"";4;490.58;0.07;1824.96;364.99;""West"""
"CUST-0022;""ORD-000022"";""Wardrobe"";""Furniture"";""2020-10-14"";1;165.91;0.14;142.68;28.54;""West"""
"CUST-0023;""ORD-000023"";""Milk"";""Groceries"";""2020-04-11"";8;482.76;0.04;3707.6;741.52;""East"""
"CUST-0024;""ORD-000024"";""Headphones"";""Electronics"";""2020-11-28"";2;267.72;0.14;460.48;92.1;""South"""
"CUST-0025;""ORD-000025"";""Milk"";""Groceries"";""2020-12-25"";2;240.05;0.29;340.87;68.17;""East"""
"CUST-0026;""ORD-000026"";""Textbook"";""Books"";""2020-10-06"";2;427.36;0.26;632.49;126.5;""West"""
"CUST-0027;""ORD-000027"";""Sweater"";""Clothing"";""2020-08-02"";9;27.59;0.02;243.34;48.67;""East"""
"CUST-0028;""ORD-000028"";""Chair"";""Furniture"";""2020-04-22"";7;489.39;0.23;2637.81;527.56;""North"""
"CUST-0029;""ORD-000029"";""Milk"";""Groceries"";""2020-08-17"";5;452.68;0.01;2240.77;448.15;""North"""
"CUST-0030;""ORD-000030"";""Jacket"";""Clothing"";""2020-10-28"";6;221.04;0.07;1233.4;246.68;""West"""
"CUST-0031;""ORD-000031"";""Non-fiction Book"";""Books"";""2020-05-22"";3;95.78;0.18;235.62;47.12;""West"""
"CUST-0032;""ORD-000032"";""Non-fiction Book"";""Books"";""2020-01-04"";8;457.29;0.04;3511.99;702.4;""West"""
"CUST-0033;""ORD-000033"";""Sweater"";""Clothing"";""2020-03-22"";5;336.75;0.27;1229.14;245.83;""West"""
"CUST-0034;""ORD-000034"";""Jeans"";""Clothing"";""2020-12-23"";2;226.45;0.1;407.61;81.52;""East"""
"CUST-0035;""ORD-000035"";""Eggs"";""Groceries"";""2020-08-04"";8;424.2;0.06;3189.98;638.0;""West"""
"CUST-0036;""ORD-000036"";""Rice"";""Groceries"";""2020-06-23"";4;196.87;0.11;700.86;140.17;""East"""
"CUST-0037;""ORD-000037"";""T-shirt"";""Clothing"";""2020-05-22"";7;144.5;0.17;839.54;167.91;""North"""
"CUST-0038;""ORD-000038"";""Textbook"";""Books"";""2020-03-20"";5;390.11;0.07;1814.01;362.8;""East"""
"CUST-0039;""ORD-000039"";""Table"";""Furniture"";""2020-04-20"";10;132.81;0.23;1022.64;204.53;""South"""
"CUST-0040;""ORD-000040"";""Laptop"";""Electronics"";""2020-06-21"";5;396.42;0.01;1962.28;392.46;""East"""
"CUST-0041;""ORD-000041"";""Chair"";""Furniture"";""2020-02-22"";5;170.09;0.12;748.4;149.68;""South"""
"CUST-0042;""ORD-000042"";""Sofa"";""Furniture"";""2020-02-17"";9;255.88;0.08;2118.69;423.74;""South"""
"CUST-0043;""ORD-000043"";""Sweater"";""Clothing"";""2020-07-13"";5;375.81;0.1;1691.14;338.23;""North"""
"CUST-0044;""ORD-000044"";""Rice"";""Groceries"";""2020-02-19"";3;379.53;0.07;1058.89;211.78;""West"""
"CUST-0045;""ORD-000045"";""Magazine"";""Books"";""2020-07-02"";2;397.43;0.0;794.86;158.97;""North"""
"CUST-0046;""ORD-000046"";""Eggs"";""Groceries"";""2020-06-25"";5;296.43;0.25;1111.61;222.32;""East"""
"CUST-0047;""ORD-000047"";""Smartphone"";""Electronics"";""2020-11-05"";8;22.26;0.27;130.0;26.0;""East"""
"CUST-0048;""ORD-000048"";""Non-fiction Book"";""Books"";""2020-05-15"";2;321.35;0.14;552.72;110.54;""East"""
"CUST-0049;""ORD-000049"";""Rice"";""Groceries"";""2020-01-23"";3;32.22;0.01;95.69;19.14;""West"""
"CUST-0050;""ORD-000050"";""Laptop"";""Electronics"";""2020-08-23"";4;444.76;0.04;1707.88;341.58;""West"""
"CUST-0051;""ORD-000051"";""Sweater"";""Clothing"";""2020-10-01"";10;373.71;0.05;3550.24;710.05;""West"""
"CUST-0052;""ORD-000052"";""Headphones"";""Electronics"";""2020-03-04"";10;209.98;0.29;1490.86;298.17;""North"""
"CUST-0053;""ORD-000053"";""Jeans"";""Clothing"";""2020-07-12"";8;227.9;0.07;1695.58;339.12;""East"""
"CUST-0054;""ORD-000054"";""Tablet"";""Electronics"";""2020-02-10"";9;451.83;0.19;3293.84;658.77;""North"""
"CUST-0055;""ORD-000055"";""Eggs"";""Groceries"";""2020-10-09"";4;484.42;0.28;1395.13;279.03;""West"""
"CUST-0056;""ORD-000056"";""Smartphone"";""Electronics"";""2020-05-30"";10;485.84;0.02;4761.23;952.25;""East"""
"CUST-0057;""ORD-000057"";""Table"";""Furniture"";""2020-11-17"";10;110.55;0.25;829.12;165.82;""South"""
"CUST-0058;""ORD-000058"";""Non-fiction Book"";""Books"";""2020-11-12"";4;170.99;0.04;656.6;131.32;""North"""
"CUST-0059;""ORD-000059"";""Jeans"";""Clothing"";""2020-07-04"";3;274.71;0.24;626.34;125.27;""North"""
"CUST-0060;""ORD-000060"";""Smartphone"";""Electronics"";""2020-10-22"";1;185.54;0.24;141.01;28.2;""East"""
"CUST-0061;""ORD-000061"";""Smartphone"";""Electronics"";""2020-04-08"";5;35.68;0.22;139.15;27.83;""North"""
"CUST-0062;""ORD-000062"";""Headphones"";""Electronics"";""2020-12-26"";8;391.23;0.15;2660.36;532.07;""North"""
"CUST-0063;""ORD-000063"";""Milk"";""Groceries"";""2020-02-05"";10;31.25;0.23;240.62;48.12;""East"""
"CUST-0064;""ORD-000064"";""Rice"";""Groceries"";""2020-01-24"";1;499.31;0.25;374.48;74.9;""West"""
"CUST-0065;""ORD-000065"";""Headphones"";""Electronics"";""2020-12-04"";8;46.01;0.02;360.72;72.14;""South"""
"CUST-0066;""ORD-000066"";""Smartphone"";""Electronics"";""2020-04-26"";5;315.92;0.18;1295.27;259.05;""East"""
